pickupDate,passenger_count,trip_distance,fare_amount,extra,tip_amount,tolls_amount,total_amount,congestion_surcharge,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT
3/22/2020,13393,34763.8,128240.64,8596.1,18095.7,3149.3,178132.79,19717.5,317,133,8
3/23/2020,16989,36520.17,143995.3,14870.5,21602.85,2632.09,210022.49,27092.5,532,189,7
3/24/2020,14823,32405.68,130195.44,13494.8,17979.45,2255.37,186962.86,23540,620,208,17
3/25/2020,13801,30444.88,121601.43,12660.4,16903.52,1880.77,174557.32,22137.5,587,204,20
3/26/2020,13550,28877.01,114271,12407,15865.09,1918.45,165004.24,21360,628,233,32
3/27/2020,14866,31497.97,128252.92,13847.3,16913.49,1854.21,182875.67,22940,656,218,42
3/28/2020,9647,20452.88,80535.38,7197.6,10412.84,1598.44,113886.41,14672.5,388,204,28
3/29/2020,6858,16435.81,62238.94,5429.8,8586.17,1233.76,87452.02,10525,407,165,35
3/30/2020,11801,24377.17,98355.8,11015.3,13887.46,1594.6,142585.06,18585,806,278,34
3/31/2020,11190,24561.24,98935.14,10763.5,13595.9,1456.47,142108.06,18156,617,238,43
4/1/2020,11478,23786.96,96320.16,10574.6,12726.88,1422.67,138074.41,17682.5,573,210,59
4/2/2020,10595,22047.7,89277.57,9976.8,12330.49,1109.97,128938.83,16840,652,246,62
4/3/2020,12091,25571.47,103258.44,11732.3,14232.4,1463.31,149407.8,19415,672,266,51
4/4/2020,7838,16469.85,65468.18,5897.1,8549.11,1031.11,92001.95,11527.5,385,211,64
4/5/2020,5922,14066.24,53827.04,4800.6,7429.25,1169.6,75867.69,9110,358,195,86
4/6/2020,9928,20553.43,82655.61,9262.1,11154.32,876.31,118962.09,15695,722,266,69
4/7/2020,9384,18941.75,76774.6,9038.6,10722.57,913.15,111564.62,14887.5,605,202,92
4/8/2020,9373,18305.59,75799.25,8901.4,11049.93,778.4,110899.88,15065,548,185,66
4/9/2020,9325,18533.14,75044.08,8560.8,10950.45,739.4,109545.03,14772.5,559,204,65
4/10/2020,10360,20227.46,81578.24,9971.1,12127.74,960.42,119880.45,16165,497,203,69
4/11/2020,7912,16132.07,63268.88,5628.1,8930.22,876.09,89810.29,11465,303,136,60
4/12/2020,5251,11781.59,45694.61,4097.5,6396.96,867.95,64777.32,8085,252,142,62
4/13/2020,9023,17475.66,72051.16,7881.3,10822.3,867.47,105414.83,14025,393,195,71
4/14/2020,10085,19656.42,80935.61,9431.8,11261.22,1100.96,117693.44,15747.5,441,173,59
4/15/2020,10041,19727.76,79485.6,9289.1,11712.46,771.88,116184.59,15555,429,154,55
4/16/2020,10183,20082.16,83015.13,9397.6,11536.82,953.3,120424.95,15962.5,356,120,56
4/17/2020,11733,23346.2,96601.68,11172,13613.27,1130.06,139854.66,18087.5,330,119,41
4/18/2020,7236,15069.77,59847.73,5182,8061.68,907.48,84553.44,10787.5,187,95,57
4/19/2020,6184,13697.23,54164.9,4946.6,7848.03,944.25,76979.38,9647.5,177,76,48
4/20/2020,9965,19597.34,80167.52,8772.6,11256.21,929.46,116336.99,15515,381,91,49
4/21/2020,9681,18685.8,77408.4,8455.3,11475.1,807.03,112930.68,15115,373,100,47
4/22/2020,10579,20587.27,84277.85,9418.1,12091.69,896.9,122691.54,16440,383,107,37
4/23/2020,10704,20616.36,83666.18,9477.2,12431.45,850.12,122824.35,16657.5,401,67,47
4/24/2020,11392,22159.93,90403.93,10576.8,13233.18,1047.87,132108.28,17515,408,84,47
4/25/2020,8612,17501.6,70213.5,6390.3,10000.9,972.7,100491.35,13340,146,47,41
4/26/2020,5755,13144.21,51820.74,4344.3,7703.56,836.36,73471.61,8922.5,98,48,34
4/27/2020,10422,19956.79,83425.6,9137.1,12264.91,864.66,121721.72,16307.5,303,62,30
4/28/2020,10668,20831.74,86963.07,10118.4,12549.18,919.05,126680.1,16835,322,65,35
4/29/2020,10805,21548.08,87942.8,10280.8,12757.07,1045.97,128331.14,17197.5,287,44,33
4/30/2020,10663,22192.56,91365.78,10406.1,13418.31,1144.69,132858.78,17377.5,217,37,35
5/1/2020,12577,25610.58,106236.98,12568.1,14339.45,1439.5,152799.48,19612.5,243,39,24
5/2/2020,9433,18944.8,76787.55,7036.8,10454.64,972.64,108992.78,14210,138,20,23
5/3/2020,7194,14907.75,59069.24,5263.3,8441.07,769.45,83788.21,10587.5,103,35,35
5/4/2020,11522,33571.69,523435.94,10672.63,12706.55,1269.2,565058.07,17747.5,215,38,19
5/5/2020,11740,23378.42,100697.14,11026.8,13494.16,1311.06,144003.61,18450,244,30,18
5/6/2020,12367,24664.91,104402.79,11760.9,14224.14,1314.72,149947.5,19365,165,26,17
5/7/2020,12211,24748.1,103156.02,11765.1,13964.51,1281.73,148240.16,19185,118,21,23
5/8/2020,12996,25728.22,106259.24,13302.8,15189.87,1291.05,155166.46,20862.5,99,23,13
5/9/2020,8939,19105.07,76000.08,6855.6,10379.67,1092.96,107430.61,13657.5,75,17,14
5/10/2020,7893,17817.53,71950.57,6373.2,10062.02,1401.16,101346.75,12155,95,22,19
5/11/2020,11504,23145.59,96688.06,11103.8,12895.78,1343.63,139095.22,18182.5,192,24,14
5/12/2020,11462,23499.27,99135.09,11414.7,13377.44,1194.7,142176.93,18390,163,22,14
5/13/2020,12524,25155.29,105741.75,11906.6,14150.11,1306.99,151370.1,19500,157,21,8
5/14/2020,12454,25791.22,105989.22,12510,14429.14,1518.97,152505.43,19670,149,22,16
5/15/2020,14148,29460.36,123932.33,14472.9,17107.94,1878.33,177735.05,22255,135,23,11
5/16/2020,10816,23371.84,93589.06,8553.3,12683.55,1491.13,131804.94,16435,52,11,10
5/17/2020,7814,18126.3,71212.16,6349.5,9488.39,1447.68,99613.88,11910,50,8,11
5/18/2020,13515,26944.13,113334.55,11976.8,15509.09,1531.41,162676.3,20951,131,21,9
5/19/2020,14077,28289.08,119038.11,12807.1,16725.66,1678.75,171898.12,22380,167,23,10
5/20/2020,14901,29649.99,125317.25,12921.7,17590.79,1643.88,180468.12,23437.5,165,12,12
5/21/2020,15001,29841.26,126179.89,13332.6,18426.77,1478.99,182607.9,23737.5,145,9,6
5/22/2020,16273,32596.8,136722.07,14402.1,20367.03,2101.96,198740.21,25422.5,152,15,5
5/23/2020,9168,19904.6,79413.82,6391.6,10501.82,1482.95,111424.44,13755,49,7,7
5/24/2020,9430,21719.7,85419.34,6485.6,12100.96,1618.61,119923.51,14165,69,19,6
5/25/2020,8987,19341.16,77648.87,6360.6,11159.75,1246.65,109767.57,13372.5,70,17,12
5/26/2020,15432,31054.16,130904.51,13591.3,18721.29,1941.21,189149.61,24407.5,126,10,6
5/27/2020,16967,32914.24,140424.72,14147.1,19540.03,1908.97,201748.42,25962.5,108,14,9
5/28/2020,15989,31452.52,135434.25,14218.5,19385.01,1880.3,195527.41,25205,99,10,3
5/29/2020,18273,35740.91,151966.29,16157.6,22007.56,2272.57,219590.52,28060,73,12,5
5/30/2020,14115,28897.74,117393.97,9030.6,17516.39,1751.6,166702.16,20657.5,38,7,12
5/31/2020,10690,25168.63,98366.98,7587,14407.18,1720.64,138136.45,16155,25,9,4
6/1/2020,17701,36493.18,155333.5,14795.9,21402.4,2245.42,220933.77,27032.5,77,12,3
6/2/2020,17948,37351.72,158539.16,15155.7,23287.07,2605.91,226690.09,27285,71,11,8
6/3/2020,17248,35145.45,148817.52,14494.1,21607.23,2467.58,213523.03,26495,78,13,7
6/4/2020,18377,38687.79,162077.5,16399.4,24297.41,2928.48,233448.19,28395,88,10,8
6/5/2020,19045,43394.88,177644.86,17196.9,26836.52,3608.99,254653.72,29160,53,11,7
6/6/2020,14821,35306.53,138779.58,9054.9,21514.79,3220.19,194616.56,20775,33,5,2
6/7/2020,11629,29222.38,113229.42,7630.8,16838.58,2739.14,158046.09,16885,25,9,1
6/8/2020,20578,40983.62,175151.36,17646,24850.44,2906,252031.35,32007.5,75,9,2
6/9/2020,21425,42487.99,182413.76,18845.5,26732.08,2935.1,263845.94,33672.5,67,9,9
6/10/2020,21148,41744.42,182633.74,19010.6,27123.45,2839.12,265539.21,34610,69,13,1
6/11/2020,21601,42791.75,181803.6,18601.55,27346.55,2778.3,264086.2,34375,54,10,2
6/12/2020,24309,72089.03,211861.87,21591.1,31404.03,3641.43,305431.98,37882.5,58,8,3
6/13/2020,17570,37893.11,148482.96,11554.4,22106.58,2806.72,210708.01,25885,24,5,3
6/14/2020,12954,33774.13,128802.65,9161.8,18604.8,3546.34,179315.19,19517.5,28,6,2
6/15/2020,22056,47265.93,198594.35,19205.6,28440.07,4032.99,284336.86,34962.5,59,4,3
6/16/2020,23946,48233.95,206850.22,20771.9,30644.73,3640.62,298698.57,38025,67,7,3
6/17/2020,24190,48525.34,207686.62,22184,31574.85,3524.37,302176.99,39155,66,8,3
6/18/2020,24836,51039.86,215779.34,22993.1,32629.84,3901.78,312854.66,40027.5,58,6,4
6/19/2020,27313,56877.63,241696.91,24917.9,37435.53,4448.95,349308.29,42717.5,56,6,4
6/20/2020,18812,41307.21,163365.79,12115.4,24578.33,3606.97,231230.59,27522.5,44,5,2
6/21/2020,16199,41326.98,158935.47,10865.9,23177.56,4652.12,220395.65,22955,26,6,4
6/22/2020,29581,58603.06,246463.4,24959.6,37887.46,4215.53,358578.49,46057.5,62,7,4
6/23/2020,30757,58702.79,258849.82,26591.9,39594.19,4396.07,376949.13,48855,77,5,5
6/24/2020,31400,60824.71,265727.17,27605.08,41042.87,4457.03,387452.3,50035,73,7,3
6/25/2020,32398,64453.79,278956.17,28322.5,42785.94,4565.62,404809.98,51857.5,46,6,3
6/26/2020,33750,66501.41,291512.29,29397.25,43874.56,5688.49,420637.89,51880,63,4,6
6/27/2020,22189,47457.97,189370.19,14456.5,28479.11,3910.71,269479.01,33257.5,37,6,2
6/28/2020,19583,45926.71,176901.86,13112.5,26942.99,4249.03,250072.58,29180,41,3,7
6/29/2020,31985,63520.9,271448.61,26290.78,40868.99,4929.21,392875.29,49470,80,3,1
6/30/2020,31420,61593.39,272909.27,26359.2,40829.21,4849.15,394443.13,49907.5,94,9,4
